type,properties/name,properties/web_address,properties/image,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,University of Connecticut,https://uconn.edu/,https://logo.clearbit.com/uconn.edu?size=40,Point,-73.0402689325843,41.5558133932584
Feature,University of Central Missouri,https://www.ucmo.edu/,https://logo.clearbit.com/ucmo.edu?size=40,Point,-93.7408706333429,38.7601761391135
Feature,Ecole Supérieure d'Informatique Salama (Esisalama)(ESIS),http://www.esisalama.com/,https://logo.clearbit.com/esisalama.org?size=40,Point,27.4805747,-11.6777094
Feature,University of Illinois at Springfield,https://www.uis.edu/,https://logo.clearbit.com/uis.edu?size=40,Point,-89.612901,39.727148
Feature,Hackers Guild,http://hackersguild.org/,https://logo.clearbit.com/hackersguild.org?size=40,Point,28.3065158,-15.3915735
Feature,The ABC International School (The Anglophone British Curriculum International School),http://www.theabcis.com/,https://logo.clearbit.com/theabcis.com?size=40,Point,106.6918035,10.7366626
Feature,Loyola University New Orleans,https://loyno.edu,https://logo.clearbit.com/loyno.edu?size=40,Point,-90.1214455,29.9339772
Feature,New England Institute of Technology,https://www.neit.edu/,https://logo.clearbit.com/email.neit.edu?size=40,Point,-71.5027075790841,41.6616
Feature,New England Institute of Technology,https://www.neit.edu/,https://logo.clearbit.com/email.neit.edu?size=40,Point,-71.4453908707991,41.7152869052518
Feature,New England Institute of Technology,https://www.neit.edu/,https://logo.clearbit.com/email.neit.edu?size=40,Point,-71.4495530046541,41.7330699
Feature,Northwest Missouri State University,https://nwmissouri.edu/,https://logo.clearbit.com/mail.nwmissouri.edu?size=40,Point,-94.882883,40.3544308985507
Feature,John Paul the Great Catholic University,https://jpcatholic.edu/,https://logo.clearbit.com/jpcatholic.com?size=40,Point,-117.082385733101,33.1208052
Feature,Bridgerland Technical College,https://btech.edu/,https://logo.clearbit.com/btech.edu?size=40,Point,-111.849173508101,41.7558301008617
Feature,University of Southern California,https://www.usc.edu/,https://logo.clearbit.com/usc.edu?size=40,Point,-118.289504450762,34.0206925
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,13.3606345499137,52.55273945
Feature,Roskilde Tekniske Skole,https://www.rts.dk/,https://logo.clearbit.com/rts-365.dk?size=40,Point,12.086433,55.625722
Feature,42,https://www.42.us.org/,https://logo.clearbit.com/student.42.fr?size=40,Point,-122.0591528,37.5486415
Feature,Abbotsleigh,https://www.abbotsleigh.nsw.edu.au/,https://logo.clearbit.com/abbotsleigh.nsw.edu.au?size=40,Point,151.1142463,-33.720367
Feature,DigitalCrafts,https://www.digitalcrafts.com/,https://logo.clearbit.com/digitalcrafts.com?size=40,Point,-84.3737242,33.8485553
Feature,DigitalCrafts,https://www.digitalcrafts.com/,https://logo.clearbit.com/digitalcrafts.com?size=40,Point,-95.3383240816326,29.7528298163265
Feature,Academia de Bellas Artes Semillas,https://academiasemillas.edu.co/,https://logo.clearbit.com/academiasemillas.edu.co?size=40,Point,-74.04907595,4.66282975
Feature,Fusion Academy,https://www.fusionacademy.com/,https://logo.clearbit.com/fusionacademy.com?size=40,Point,-85.6687834375,42.9642737708333
Feature,Acamica,https://www.acamica.com/,https://logo.clearbit.com/acamica.com?size=40,Point,-58.4200925204082,-34.5928813571429
Feature,CourseAble,https://courseable.edu.bd/,https://logo.clearbit.com/courseable.edu.bd?size=40,Point,90.6023361,23.6421599
Feature,Doge Codes,https://doge.codes/,https://logo.clearbit.com/?size=40,Point,30.5241037,50.4500644
Feature,Alchemy Code Lab,https://www.alchemycodelab.com/,https://logo.clearbit.com/?size=40,Point,-122.6809206,45.5233858
Feature,Altcademy,https://www.altcademy.com/,https://logo.clearbit.com/altcademy.com?size=40,Point,114.1603515,22.28208
Feature,American Embassy School,https://aes.ac.in/,https://logo.clearbit.com/aes.ac.in?size=40,Point,77.1834342,28.5990678
Feature,Canberra Grammar School,https://cgs.act.edu.au/,https://logo.clearbit.com/cgs.act.edu.au?size=40,Point,149.1316728,-35.3405171
Feature,Arborbrook Christian Academy,http://arborbrook.org/,https://logo.clearbit.com/arborbrook.org?size=40,Point,-80.6940632286219,35.0195499087116
Feature,Christ's School,http://www.christs.richmond.sch.uk/,https://logo.clearbit.com/christs.richmond.sch.uk?size=40,Point,-0.2938281,51.4541179
Feature,Atmiya University,https://atmiyauni.ac.in/,https://logo.clearbit.com/aits.edu.in?size=40,Point,70.7677674,22.2818543
Feature,Codely Tech S.L. (CodeOp),https://codeop.tech/,https://logo.clearbit.com/codely.tech?size=40,Point,2.1774322,41.3828939
Feature,Code Berlin University,https://code.berlin/en/,https://logo.clearbit.com/code.berlin?size=40,Point,13.4467241,52.4938798
Feature,Utrecht University,https://www.uu.nl/en,https://logo.clearbit.com/students.uu.nl?size=40,Point,5.1223339,52.0902439
Feature,"California State University, Long Beach",http://www.csulb.edu/,https://logo.clearbit.com/student.csulb.edu?size=40,Point,-118.121302864598,33.7666787
Feature,CodeClan,https://codeclan.com/,https://logo.clearbit.com/codeclan.com?size=40,Point,-3.2019101,55.9469204
Feature,Coventry University,https://www.coventry.ac.uk/,https://logo.clearbit.com/uni.coventry.ac.uk?size=40,Point,0.1606149,51.5528544
Feature,Coventry University,https://www.coventry.ac.uk/,https://logo.clearbit.com/uni.coventry.ac.uk?size=40,Point,-0.4136154,54.2716558
Feature,DevMountain,https://devmountain.com/,https://logo.clearbit.com/devmounta.in?size=40,Point,-111.66062122449,40.2262834285714
Feature,DevMountain,https://devmountain.com/,https://logo.clearbit.com/devmounta.in?size=40,Point,-112.071432789497,33.4483403
Feature,DevMountain,https://devmountain.com/,https://logo.clearbit.com/devmounta.in?size=40,Point,-96.795206327092,32.77792995
Feature,Digital House,https://digitalhouse.com/,https://logo.clearbit.com/digitalhouse.com?size=40,Point,-58.4599229,-34.5583089
Feature,Dwight-Englewood School,https://www.d-e.org,https://logo.clearbit.com/d-e.org?size=40,Point,-73.9618044,40.8878772
Feature,Istituto Istruzione Superiore Guglielmo Marconi,http://www.itsiderno.gov.it/,https://logo.clearbit.com/?size=40,Point,11.8115681422713,42.08789645
Feature,Epitech - Paris Graduate School of Digital Innovation,https://www.epitech.eu/fr/,https://logo.clearbit.com/epitech.eu?size=40,Point,2.3629949,48.815223
Feature,Erasmushogeschool Brussel,https://www.erasmushogeschool.be/nl,https://logo.clearbit.com/student.ehb.be?size=40,Point,4.3238857,50.8408106
Feature,Fachhochschule Kärnten,http://www.fh-kaernten.at/startseit/,https://logo.clearbit.com/fh-kaernten.ac.at?size=40,Point,13.5008255500927,46.797071
Feature,Utah State University,http://www.usu.edu/,https://logo.clearbit.com/aggiemail.usu.edu?size=40,Point,-111.801696,41.7443541666667
Feature,Zamphyr,https://zamphyr.com/,https://logo.clearbit.com/?size=40,Point,24.8031597,59.420784
Feature,FikraSpace,http://fikra.space/,https://logo.clearbit.com/fikra.space?size=40,Point,44.3908213,33.2832827
Feature,Fundacion Arquidiocesana de Educacion - FUNADE,http://funade.edu.co/,https://logo.clearbit.com/funade.edu.co?size=40,Point,-74.809089,11.0153304
Feature,Universidade Federal de São João del Rei,https://ufsj.edu.br/,https://logo.clearbit.com/ufsj.edu.br?size=40,Point,-44.2588086,-21.1335755
Feature,Perdana University,https://www.perdanauniversity.edu.my/,https://logo.clearbit.com/perdanauniversity.edu.my?size=40,Point,101.7055684,3.0340649
Feature,Egibide Vitoria Alava,https://www.egibide.org/,https://logo.clearbit.com/egibide.org?size=40,Point,-2.6772496,42.8668008
Feature,Gallaudet University,https://www.gallaudet.edu/,https://logo.clearbit.com/gallaudet.edu?size=40,Point,-76.9951022533937,38.90777735
